,State Cleanup Site #,Name,Address,City,ZIP,County,Status,Media Name,Contaminant,Chemical,SNO
1328,200108105,Bridgestone Firestone,225 N. 9th St.,LAFAYETTE,47901,Tippecanoe,REF,Soil,Petroleum,Petroleum Products,353
1330,200108119,M & E Properties,15693 South SR 58,COLUMBUS,47201,Bartholomew,REF,Soil,Petroleum,Organics,10
1332,200108148,Dyer Construction Site,1716 Sheffield Ave.,Dyer,46311,Lake,REF,Groundwater,Petroleum,Petroleum Products,116
1334,200108153,Speedway Super America,1404 W Washington St,Indianapolis,46222,Marion,NFA,Soil,Petroleum,Petroleum Products,34
1340,200109066,INDOT/Monticello,S.R. 39 and US 421,Monticello,47960,White,NFA,Soil,Petroleum,Organics,166
1341,200109082,Old Salvation Army Builiding,600 S Mulberry Street,Muncie,47305,Delaware,NFA,Soil,Petroleum,Petroleum,363
1342,200109092,American Rubber Products Corporation,423 Brighton st.,La Porte,46350,La Porte,NFA,Soil,Petroleum,Petroleum Products,13
1354,200110209,Home Depot,850 S SR 135,GREENWOOD,46142,Johnson,NFA,Soil,Petroleum,Petroleum Products,61
1359,200110517,Peerless Pump,2005 Martin Luther King ST,Indianapolis,46208,Marion,NFA,Soil,Petroleum,Petroleum Products,102
1392,200203013,West Clark Community School,601 Renz Ave,Sellersburg,47172,Clark,NFA,Soil,Petroleum,Petroleum,140
1394,200203044,Michael Pitcher,1131 Hospital Road,Franklin,46131,Johnson,NFA,Soil,Petroleum,Petroleum,48
1395,200203058,Sam Pierce Chevrolet,Sr 236 W,Middletown,47356,Henry,NFA,Soil,Petroleum,Petroleum,291
