County,Chemical,Total Transfers,Total Releases,Length of Life Z-Score,Length of Life Rank,Quality of Life Z-Score,Quality of Life Rank,Health Behaviors Z-Score,Health Behaviors Rank,Clinical Care Z-Score,Clinical Care Rank,Social and Economica Factors Z-Score,Social and Economic Factors Rank,Physical Environment Z-Score,Physical Environment Rank,Deaths,Years of Potential Life Lost
Decatur,Ethylene glycol,0.0,300.1,-0.071441046,42,-0.373119243,12,-0.061497845,27,-0.013461428,43,-0.25565801,14,0.0168256808,64,405,8469.5582359
Decatur,Lead,3.596,222.522,-0.071441046,42,-0.373119243,12,-0.061497845,27,-0.013461428,43,-0.25565801,14,0.0168256808,64,405,8469.5582359
Decatur,Lead  And Lead Compounds,0.0,152.0,-0.071441046,42,-0.373119243,12,-0.061497845,27,-0.013461428,43,-0.25565801,14,0.0168256808,64,405,8469.5582359
Decatur,Manganese,0.0,0.0,-0.071441046,42,-0.373119243,12,-0.061497845,27,-0.013461428,43,-0.25565801,14,0.0168256808,64,405,8469.5582359
Decatur,Manganese compounds,189.0,5688.0,-0.071441046,42,-0.373119243,12,-0.061497845,27,-0.013461428,43,-0.25565801,14,0.0168256808,64,405,8469.5582359
Decatur,Methanol,0.0,126.0,-0.071441046,42,-0.373119243,12,-0.061497845,27,-0.013461428,43,-0.25565801,14,0.0168256808,64,405,8469.5582359
Decatur,Nickel,0.0,0.0,-0.071441046,42,-0.373119243,12,-0.061497845,27,-0.013461428,43,-0.25565801,14,0.0168256808,64,405,8469.5582359
Decatur,Nitrate compounds (water dissociable; reportable only when in aqueous solution),195115.0,19528.7,-0.071441046,42,-0.373119243,12,-0.061497845,27,-0.013461428,43,-0.25565801,14,0.0168256808,64,405,8469.5582359
Decatur,Nitric acid,0.0,96.889,-0.071441046,42,-0.373119243,12,-0.061497845,27,-0.013461428,43,-0.25565801,14,0.0168256808,64,405,8469.5582359
Decatur,Polycyclic aromatic compounds,0.0,0.08,-0.071441046,42,-0.373119243,12,-0.061497845,27,-0.013461428,43,-0.25565801,14,0.0168256808,64,405,8469.5582359
Decatur,Toluene,0.0,1111.0,-0.071441046,42,-0.373119243,12,-0.061497845,27,-0.013461428,43,-0.25565801,14,0.0168256808,64,405,8469.5582359
Decatur,Xylene (mixed isomers),0.0,746.0,-0.071441046,42,-0.373119243,12,-0.061497845,27,-0.013461428,43,-0.25565801,14,0.0168256808,64,405,8469.5582359
Decatur,Zinc compounds,210.0,19507.92,-0.071441046,42,-0.373119243,12,-0.061497845,27,-0.013461428,43,-0.25565801,14,0.0168256808,64,405,8469.5582359
DeKalb,"1,2,4-Trimethylbenzene",0.0,31930.09,-0.109897639,39,-0.280746058,19,-0.023091497,40,-0.038387202,34,-0.226334597,15,-0.03306081,16,646,8333.7855442
DeKalb,Certain glycol ethers,0.0,74441.0,-0.109897639,39,-0.280746058,19,-0.023091497,40,-0.038387202,34,-0.226334597,15,-0.03306081,16,646,8333.7855442
